chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,class
0.5988401,1089.1770170929594,1383.735395669002,2262.105630990415,0.010383337,0.0640600039936102,1
0.57661265,1000.493633110618,1383.6422435973168,1959.2651757188496,0.010091256,0.0525596545527156,1
0.5609389,1432.253254129907,1764.0152252025266,3193.091054313099,0.009648658,0.0804213258785942,1
0.33919343,1100.7110373728651,1226.3498268895582,2160.1936900958467,0.012322455,0.0712984225239616,1
0.46629238,987.975508062025,1345.4967578061528,2061.875998402556,0.013467359,0.0428642297324281,1
0.5238603,1057.9910656676946,1375.703550754483,2209.789337060703,0.010533477,0.0589665909544728,1
0.5909613,1094.2731395751578,1500.1821434043704,2341.3538338658145,0.013413347,0.0488686851038338,1
0.6230592,1796.495367009834,1739.6370233184275,3594.42392172524,0.008579458,0.1383239941094249,1
0.5946005,1020.697873227603,1318.5227954754405,2094.3490415335464,0.010044136,0.0574393470447284,1
0.5957572,1010.4870696684856,1283.5925170042271,2049.246206070288,0.010402672,0.0587450703873801,1
0.5125689,939.1657966833908,1417.3322304490816,1917.457068690096,0.009825071,0.0429781100239616,1
0.34713367,1631.7008665434123,1687.3329127244583,3313.6980830670927,0.009071315,0.1165619383985623,1
0.48881555,2204.531979450927,2062.1283205775185,4558.70607028754,0.008161145,0.1739123652156549,1
0.64335907,1725.3490137766137,1703.2286526579508,3470.147763578275,0.011472319,0.1125074880191693,1
0.36212957,1541.2486588006225,1900.0416771119835,3725.788738019169,0.011809857,0.076235835163738,1
0.49769092,973.255974590579,1422.510575587531,2005.3913738019169,0.010473273,0.0483304837260383,1
0.32567948,1416.189918697423,1746.1441066538157,2853.6591453674123,0.009343668,0.0965533271765175,1
0.588277,1394.3989132321335,1574.0562935279452,2979.707468051118,0.010166695,0.0918062350239616,1
0.29579547,1349.9044403282987,1780.3179592796082,2812.400159744409,0.011510492,0.0745713109025559,1
0.5268129,949.9182651468708,1262.2127133726522,1887.979233226837,0.012503181,0.0485551243011182,1
0.5120435,882.0770366117349,1348.6352654711327,1725.838658146965,0.010391539,0.0444367137579872,1
0.3471891,1298.851376203679,1783.078407490032,2718.97464057508,0.012509877,0.0624828399560702,1
0.52525645,1024.9571165466346,1394.201193905996,2188.9227236421725,0.014131226,0.043520991413738,1
0.28413203,1811.323909653425,2056.760745810689,4442.467052715655,0.009213881,0.0984612120607028,1
0.6051067,1039.1406153601984,1430.9846408732374,2076.7022763578275,0.010245949,0.056316144169329,1
0.33987555,1383.0584891476883,1787.8460878319793,2913.014177316294,0.009586263,0.0850545377396166,1
0.47191033,1080.5516363893612,1388.9350100942145,2268.745007987221,0.010071366,0.0613721171126198,1
0.67225444,1153.646908390221,1212.9342569926598,2212.859424920128,0.011671133,0.0805055660942492,1
0.48631194,1701.9377922519109,1614.6087932620446,3377.520966453674,0.008896319,0.1413145217651757,1
0.60254705,1015.1858701193452,1398.690185091757,2084.764376996805,0.010093882,0.0537358975638977,1
0.4532353,1350.026823846683,1578.613847306971,2884.509784345048,0.00970992,0.0869624226238019,1
0.53993356,1679.2782229628203,1922.644831536996,3816.219049520767,0.009686849,0.1004080970447284,1
0.46061757,1093.2992751196157,1390.095822637004,2266.8230830670927,0.010120457,0.0623283995607028,1
0.30351207,1541.6627597879478,1870.4213982569545,3446.9598642172523,0.009740622,0.0941368809904153,1
0.3049859,1399.607438521863,1813.255767791843,3094.798322683706,0.011454031,0.0695059779353035,1
0.32528564,1377.7206971396993,1789.9973040591422,3008.211861022364,0.012580464,0.0624609999001597,1
0.257781,1481.5451208628992,1857.4138312887983,3230.655950479233,0.009400136,0.0950619633586262,1
0.5272944,1032.9958880016875,1400.6018101954644,2213.308706070288,0.014810251,0.0405008236821086,1
0.48057896,1058.5722620505835,1409.9630776262752,2256.963857827476,0.012898919,0.0501759684504792,1
0.5903664,1074.677311640042,1458.0329280418966,2183.48142971246,0.012386439,0.0520448532348242,1
0.5654675,1019.9660204517894,1363.25144133075,2157.8973642172523,0.012530863,0.0475458017172523,1
0.4731593,967.088063453928,1415.3951548979578,1893.3456469648563,0.010212227,0.0517219324081469,1
0.5891436,1018.5463912448624,1301.8597384352877,2048.99660543131,0.009937818,0.0601381539536741,1
0.33193603,873.1668226631197,1372.4273448288757,1707.243410543131,0.00994727,0.0397769818290734,1
0.29004413,1259.936376591045,1686.568450925747,2429.9371006389774,0.011869788,0.0709177815495207,1
0.5451605,733.8850289340016,1178.6734304405677,1298.0481230031949,0.012499727,0.0333326053314696,1
0.48538724,1193.3777944407711,1517.5672775232956,2362.0956469648563,0.009341141,0.0754963932707667,1
0.5444126,747.4239508721776,1268.356077868605,1386.182108626198,0.013703674,0.0281580720846645,1
0.59031194,896.2401611995186,1424.3567335480711,1811.8011182108623,0.012933449,0.0350735697883386,1
0.58149654,948.4107020938094,1270.64612073163,1935.702875399361,0.012481773,0.0463274385982428,1
0.59768486,1077.701758548225,1392.567597465311,2270.592052715655,0.010495154,0.0599072733626198,1
0.62243694,1721.1943222881675,1683.5734464977434,3385.383386581469,0.011208717,0.1153997354233226,1
0.32484767,1283.1325256981434,1714.344518249217,2522.663738019169,0.011719504,0.0683890150758785,1
0.60205835,1718.5681659563886,1738.9512882610384,3638.6281948881783,0.009290937,0.1307142946285942,1
0.25950518,1455.7463035823475,1843.2657756934088,3229.0585063897765,0.009571207,0.0881901457667731,1
0.3017711,1851.7465541596828,1996.256315416705,4171.999800319489,0.009446375,0.1066590330471246,1
0.5621892,1024.4755201173932,1362.4447187395187,2147.164536741214,0.012484284,0.0488499650559105,1
0.5877687,1084.5789422648784,1403.5676570823657,2293.08107028754,0.01011829,0.0616482378194888,1
0.34460354,1253.6091938980765,1867.422589936433,2890.7997204472845,0.014099604,0.0449951951876996,1
0.578975,1150.3811733070931,1585.2864920099205,2466.653354632588,0.010367756,0.0549183805910543,1
0.5383057,965.2948500326952,1348.1689623284194,1854.532747603834,0.010203858,0.0507906100239616,1
0.32937527,1305.5306111469251,1687.3443291022954,2510.008985623004,0.008971178,0.0833697334265175,1
0.50946075,1069.4668531602797,1415.8455700387478,2294.903154952077,0.012743491,0.050364728933706,1
0.49951467,1062.146628911495,1377.5283467952238,2213.4335063897765,0.010534534,0.0599883935702875,1
0.6050925,2374.737114840957,2036.564045117832,4688.648162939297,0.010629248,0.1536697533945687,1
0.32691866,1410.4524029222591,1861.2499691252997,3283.5213658146963,0.009631677,0.0725542257388179,1
0.27579802,1432.138146108087,1794.6612075064156,3046.7501996805117,0.009144379,0.0892852685702875,1
0.66172755,985.0711484168386,1269.471167597834,1868.8348642172523,0.012811673,0.0546516199081469,1
0.541112,666.4365572346297,1123.2411951103668,1168.505391373802,0.013069278,0.0275761905950479,1
0.4791802,1115.8119959918151,1447.1295801014153,2202.5259584664536,0.009418179,0.0674686127196485,1
0.32133493,1471.3084312137155,1891.959160615226,3482.4281150159745,0.009699376,0.0724637455071885,1
0.339897,1193.5454488577357,1669.8217827133976,2260.133785942492,0.0121555,0.0591366313897763,1
0.58127797,1034.1273931704443,1421.2641772862155,2049.296126198083,0.010119054,0.0569713458466453,1
0.5443204,925.7350525223784,1241.3473746597483,1884.509784345048,0.012210999,0.0461558381589456,1
0.5443791,809.8583041885836,1308.052109139876,1543.779952076677,0.012309637,0.0362295327476038,1
0.5148452,1069.0820530453836,1377.707406463805,2226.462659744409,0.010571462,0.0614079972044728,1
0.34255064,1227.5834348404887,1693.5497590387806,2342.8514376996804,0.011449872,0.062904041034345,1
0.4428989,1069.130232820732,1378.3608823968798,2236.27196485623,0.0104684355,0.0598074331070287,1
0.60611194,1141.8733862745205,1456.85520544184,2446.086261980831,0.010225951,0.0625452401158147,1
0.31845415,1198.6279014410125,1703.5559685168964,2278.9536741214056,0.012240679,0.0580415085862619,1
0.5875032,1445.7306329448163,1786.2690741167323,3256.739217252396,0.010036607,0.0773527980231629,1
0.5724368,969.5291788760936,1251.3889271744729,1904.0535143769969,0.010439116,0.0584985897563897,1
0.6514482,1718.6914642121674,1852.6538926616404,3752.496006389777,0.009327901,0.1143108526357827,1
